,unique.code,S_C,S_SC,S_L,S_S,longitude,latitude,year,season,Argentina.sialis,Aristostomias.scintillans,Bathophilus.flemingi,Bathylagoides.wesethi,Bathylagus.pacificus,Brosmophycis.marginata,Ceratoscopelus.townsendi,Chauliodus.macouni,Chromis.punctipinnis,Cololabis.saira,Diogenichthys.atlanticus,Diogenichthys.laternatus,Electrona.risso,Embassichthys.bathybius,Engraulis.mordax,Gempylidae,Girella.nigricans,Glyptocephalus.zachirus,Hemilepidotus.spinosus,Hippoglossina.stomata,Hypsypops.rubicundus,Icichthys.lockingtoni,Idiacanthus.antrostomus,Lampadena.urophaos,Leuroglossus.stilbius,Lipolagus.ochotensis,Loweina.rara,Lyopsetta.exilis,Medialuna.californiensis,Merluccius.productus,Microstoma,Microstomus.pacificus,Nansenia.candida,Nansenia.crassa,Notolychnus.valdiviae,Notoscopelus.resplendens,Ophiodon.elongatus,Oxylebius.pictus,Paralichthys.californicus,Parophrys.vetulus,Peprilus.simillimus,Pleuronichthys.coenosus,Pleuronichthys.decurrens,Pleuronichthys.verticalis,Protomyctophum.crockeri,Psettichthys.melanostictus,Pseudobathylagus.milleri,Sardinops.sagax,Scomber.japonicus,Scorpaenichthys.marmoratus,Sebastes.aurora,Sebastes.diploproa,Sebastes.goodei,Sebastes.jordani,Sebastes.levis,Sebastes.paucispinis,Seriola.lalandi,Sphyraena.argentea,Stenobrachius.leucopsarus,Stomias.atriventer,Symbolophorus.californiensis,Symbolophorus.evermanni,Symphurus.atricaudus,Tactostoma.macropus,Tarletonbeania.crenularis,Tetragonurus.cuvieri,Trachurus.symmetricus,Triphoturus.mexicanus,Zoarcoidei,Anguilliformes1,Gonostomatidae1,Sternoptychidae1,Vinciguerria1,Scopelarchidae1,Paralepididae1,Myctophum1,Diaphus1,Nannobrachium1,Hygophum1,Macrouridae1,Ophidiiformes1,Lampridiformes1,Melamphaidae1,Syngnathus1,Sebastes1,Scorpaena1,Sebastolobus1,Cottidae1,Agonidae1,Cyclopteridae1,Paralabrax1,Sciaenidae1,Labridae1,Chiasmodon1,Clinidae1,Hypsoblennius1,Gobiidae1,Citharichthys1,Pleuronichthys1
11506,80 70 1904 RL,1904,RL,80,70,-121.8433333,33.81666667,2019,spring,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.22,0,9.74,0,0,0,0,0,0,4.87,0,0,4.87,14.61,0,0,0,0,0,9.74,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11508,80 80 1904 RL,1904,RL,80,80,-122.5383333,33.48666667,2019,spring,0,0,0,0,0,0,0,0,0,0,29.13333333,0,0,0,0,0,0,0,0,0,0,0,0,0,29.13333333,48.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.711111111,0,0,0,0,0,0,0,0,0,0,0,0,0,58.26666667,0,9.711111111,0,0,0,0,0,0,0,0,0,9.711111111,19.42222222,0,0,0,0,0,29.13333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11510,80 90 1904 RL,1904,RL,80,90,-123.2216667,33.14666667,2019,spring,0,0,0,0,0,0,31.44827586,0,0,0,0,0,0,0,23.5862069,0,0,0,0,0,0,0,0,0,15.72413793,55.03448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.862068966,0,0,0,0,0,0,0,0,0,0,0,0,0,94.34482759,0,0,0,0,0,0,0,0,15.72413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11511,81.7 43.5 1904 RL,1904,RL,81.7,43.5,-119.805,34.39833333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.05,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0
11513,81.8 46.9 1904 RL,1904,RL,81.8,46.9,-120.0266667,34.275,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.79591837,0,0,0,0,0,0,0,0,0,101.4693878,0,0,9.224489796,0,9.224489796,0,0,0,0,0,0,0,9.224489796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.224489796,0,0,0,0,0,0,0,0,18.44897959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11514,83.3 39.4 1904 RL,1904,RL,83.3,39.4,-119.3333333,34.26333333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11516,83.3 40.6 1904 RL,1904,RL,83.3,40.6,-119.42,34.22333333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.98,0,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11520,83.3 55 1904 RL,1904,RL,83.3,55,-120.4133333,33.74333333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.5,0,0,0,0,0,0,0,0,0,139.25,32.13461538,0,0,0,21.42307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42307692,0,0,0,0,0,0,0,0,0,0,0,0,0,32.13461538,0,0,0,0,0,10.71153846,0,0,21.42307692,0,0,0,21.42307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11521,83.3 60 1904 RL,1904,RL,83.3,60,-120.7533333,33.58,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.76,0,0,0,0,0,0,0,0,0,0,61.08,0,0,0,20.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11522,83.3 70 1904 RL,1904,RL,83.3,70,-121.4416667,33.245,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10714286,0,0,0,0,0,0,0,0,0,19.03571429,38.07142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.07142857,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11523,83.3 80 1904 RL,1904,RL,83.3,80,-122.1283333,32.91333333,2019,spring,0,3.84,0,0,0,0,3.84,7.68,0,0,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,57.6,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,3.84,34.56,0,0,0,0,0,3.84,15.36,0,0,11.52,11.52,0,3.84,0,0,0,23.04,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11524,83.3 90 1904 RL,1904,RL,83.3,90,-122.81,32.57833333,2019,spring,0,4.68,0,0,4.68,0,60.84,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,4.68,0,0,9.36,18.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.12,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,4.68,9.36,0,0,0,0,4.68,4.68,65.52,0,0,14.04,9.36,9.36,0,0,0,0,60.84,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11525,85.4 35.8 1904 RL,1904,RL,85.4,35.8,-118.85,34.01,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.47,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,11.31,0,0,0,0,0,0,0,0,11.31,7.54,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,49.01,0,0,0,0,3.77,3.77,0
11527,86.7 33 1904 RL,1904,RL,86.7,33,-118.49,33.88833333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.11,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,7.06,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,3.53,0,0,0,3.53,0,0,0,0,0,0,0
11529,86.7 35 1904 RL,1904,RL,86.7,35,-118.6216667,33.82333333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775.125,0,0,0,0,0,0,0,0,0,512.775,11.925,0,23.85,0,59.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.175,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0
11531,86.7 40 1904 RL,1904,RL,86.7,40,-118.9733333,33.65666667,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019.13,0,0,0,0,0,0,0,0,0,140.07,0,0,4.83,0,19.32,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,4.83,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,144.9,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0
11533,86.7 45 1904 RL,1904,RL,86.7,45,-119.3183333,33.48666667,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897.68,0,0,0,0,0,0,0,0,0,73.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11535,86.7 50 1904 RL,1904,RL,86.7,50,-119.665,33.32166667,2019,spring,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,1485.8,0,0,0,0,0,0,0,0,0,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,7.82,0,0,0,0,0,0,3.91,0,0,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,410.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11537,86.7 55 1904 RL,1904,RL,86.7,55,-120.0033333,33.15833333,2019,spring,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,267.68,0,0,0,0,0,0,0,0,0,33.46,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.02,0,0,0,0,0,0,38.24,0,0,4.78,0,9.56,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11538,86.7 60 1904 RL,1904,RL,86.7,60,-120.345,32.99166667,2019,spring,0,0,0,8.72,0,0,0,0,0,0,4.36,0,0,0,1076.92,0,0,0,0,0,0,0,0,0,39.24,30.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.52,0,0,0,0,0,0,47.96,0,0,8.72,4.36,0,0,13.08,0,0,47.96,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11539,86.7 70 1904 RL,1904,RL,86.7,70,-121.04,32.66666667,2019,spring,0,0,0,0,0,0,4.4,4.4,0,0,13.2,0,0,0,778.8,0,0,0,0,0,0,0,0,0,118.8,39.6,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13.2,0,0,0,0,8.8,0,22,0,0,4.4,4.4,0,0,0,0,0,8.8,0,0,0,0,4.4,0,35.2,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0
11540,86.7 80 1904 RL,1904,RL,86.7,80,-121.715,32.32333333,2019,spring,0,0,0,0,0,0,10.66,0,0,0,5.33,0,0,0,117.26,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,31.98,0,0,0,31.98,5.33,5.33,0,0,0,5.33,0,0,0,0,15.99,0,10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11541,86.7 90 1904 RL,1904,RL,86.7,90,-122.3933333,31.99,2019,spring,0,0,0,33.32,0,0,47.6,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,4.76,0,0,0,0,9.52,42.84,71.4,0,0,85.68,4.76,166.6,0,9.52,0,0,19.04,4.76,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11542,86.8 32.5 1904 RL,1904,RL,86.8,32.5,-118.445,33.88833333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0
11543,88.5 30.1 1904 RL,1904,RL,88.5,30.1,-118.09,33.67,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
11545,90 100 1904 RL,1904,RL,90,100,-122.6616667,31.085,2019,spring,0,0,0,0,0,0,35.21,0,0,5.03,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,15.09,0,0,0,0,5.03,15.09,20.12,0,0,30.18,0,145.87,0,0,0,0,15.09,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11546,90 110 1904 RL,1904,RL,90,110,-123.33,30.75166667,2019,spring,0,0,0,4.92,0,0,4.92,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.52,4.92,0,0,0,0,0,4.92,19.68,0,0,54.12,19.68,191.88,0,0,0,0,9.84,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0
11547,90 120 1904 RL,1904,RL,90,120,-123.995,30.41833333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,13.47,4.49,107.76,0,0,0,0,4.49,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11548,90 27.7 1904 RL,1904,RL,90,27.7,-117.75,33.49166667,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0
11550,90 28 1904 RL,1904,RL,90,28,-117.7683333,33.485,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101.918367,0,0,0,0,0,0,0,0,0,324.6122449,9.836734694,0,19.67346939,0,19.67346939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.836734694,0,0,0,49.18367347,0,0,0,0,0,0,0,0,9.836734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.67346939,0,0,0,0,0,0,0,0,0,0,0,0,9.836734694,0
11552,90 30 1904 RL,1904,RL,90,30,-117.905,33.41666667,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637.8,0,0,0,0,0,0,0,0,0,390,15.6,0,7.8,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,7.8,0,0,15.6,0,0,0,0,0,7.8,0,0,0,0,15.6,0,0,0,0,0,0,0,7.8,7.8,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0
11554,90 35 1904 RL,1904,RL,90,35,-118.2516667,33.25166667,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5222.588235,0,0,0,0,0,0,0,0,0,379.2941176,19.45098039,0,29.17647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.80392157,0,0,0,0,0,9.725490196,0,0,0,0,48.62745098,0,0,0,0,0,0,0,0,9.725490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.07843137,0,0,0,0,0,0,0,9.725490196,0,0,0,19.45098039,0,0
11556,90 37 1904 RL,1904,RL,90,37,-118.385,33.18333333,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5570.222222,0,0,0,0,0,0,0,0,0,341.2222222,0,0,0,0,18.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.44444444,36.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.222222222,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11558,90 45 1904 RL,1904,RL,90,45,-118.9366667,32.925,2019,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3218.55,0,0,0,0,0,0,0,0,0,209.58,4.99,0,14.97,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,14.97,9.98,0,0,0,0,0,0,0,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11560,90 53 1904 RL,1904,RL,90,53,-119.4816667,32.65666667,2019,spring,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,2031.5,0,0,0,0,0,0,0,0,0,68,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,4.25,0,0,0,0,8.5,0
